西班牙,6294745,89405,5056955,1148385,161688,,,
瑞典,1314784,15271,1194618,104895,0,,,
俄罗斯,10499982,308860,9463919,727203,20638,,,
英国,12937886,148624,10314726,2474536,188124,,,
意大利,6125683,137402,5087297,900984,127000,,,
芬兰,260292,1564,46000,212728,11334,,,
德国,7176448,112756,6382900,680792,27189,,,
法国,9972800,123741,8091103,1757956,206243,,,
莱索托,28408,665,15241,12502,0,,,
科摩罗,6515,157,4709,1649,231,,,
圣多美和普林西比,3897,57,3678,162,78,,,
南苏丹,15242,135,12934,2173,90,,,
马拉维,75075,2364,60145,12566,963,,,
布隆迪,27366,38,773,26555,0,,,
塞拉利昂,7064,123,4393,2548,173,,,
博茨瓦纳,219509,2444,204811,12254,7027,,,
几内亚比绍,6484,149,6302,33,0,,,
马里,21008,660,18735,1613,202,,,
利比亚,388734,5710,376278,6746,551,,,
莫桑比克,189080,2006,156570,30504,4947,,,
厄立特里亚,8011,76,7746,189,63,,,
乌干达,140737,3294,98397,39046,1658,,,
安哥拉,81593,1770,64533,15290,1396,,,
马达加斯加,50279,1027,44708,4544,0,,,
津巴布韦,213258,5004,180570,27684,2073,,,
佛得角,41732,351,38291,3090,791,,,
尼日尔,7405,275,6926,204,24,,,
乍得,5701,181,4874,646,0,,,
毛里求斯,23493,762,21918,813,72,,,
赞比亚,254274,3734,219794,30746,5081,,,
吉布提,13656,189,13370,97,13,,,
冈比亚,10170,343,9700,127,34,,,
贝宁,24935,161,24705,69,0,,,
索马里,23532,1333,12948,9251,0,,,
坦桑尼亚,29306,737,183,28386,0,,,
利比里亚,6278,287,5535,456,0,,,
马约特,22732,185,2964,19583,358,,,
刚果（布）,20089,367,12421,7301,0,,,
中非共和国,12163,101,6859,5203,0,,,
塞舌尔,24788,134,24033,621,242,,,
赤道几内亚,13710,175,13410,125,73,,,
纳米比亚,147974,3633,131040,13301,1254,,,
卢旺达,111786,1350,45522,64914,1488,,,
斯威士兰,66109,1303,58767,6039,359,,,
毛里塔尼亚,41473,866,39175,1432,248,,,
苏丹,46518,3331,38714,4473,0,,,
几内亚,32051,391,29823,1837,229,,,
埃塞俄比亚,420342,6937,355046,58359,4998,,,
肯尼亚,295028,5378,252281,37369,0,,,
加蓬,41798,288,37499,4011,1163,,,
加纳,142986,1295,131473,10218,901,,,
留尼汪岛,76602,409,69431,6762,0,,,
科特迪瓦,71004,714,61998,8292,1578,,,
刚果（金）,74793,1205,50930,22658,0,,,
布基纳法索,17632,318,16619,695,0,,,
多哥,30163,248,26134,3781,747,,,
喀麦隆,109367,1851,106050,1466,0,,,
南非,3458286,91145,3174037,193104,12978,,,
突尼斯,726706,25569,696315,4822,1162,,,
塞内加尔,75055,1890,72560,605,185,,,
摩洛哥,963092,14849,940193,8050,2034,,,
尼日利亚,241513,3030,214003,24480,1126,,,
埃及,385575,21752,320563,43260,871,,,
阿尔及利亚,218432,6276,150084,62072,390,,,
汤加王国,1,0,1,0,0,,,
帕劳共和国,10,0,8,2,0,,,
密克罗尼西亚,1,0,1,0,0,,,
萨摩亚独立国,3,0,3,0,0,,,
瓦努阿图共和国,7,1,6,0,0,,,
马绍尔群岛,4,0,4,0,0,,,
瓦利斯和富图纳群岛,454,7,438,9,0,,,
所罗门群岛,24,0,20,4,0,,,
巴布亚新几内亚,36158,590,35468,100,21,,,
新喀里多尼亚,12792,281,12249,262,30,,,
斐济,53332,698,51223,1411,0,,,
法属波利尼西亚,46382,636,33500,12246,0,,,
新西兰,14118,51,12870,1197,61,,,
澳大利亚,428651,2252,255513,170886,32879,,,
圣皮埃尔,100,0,95,5,2,,,
百慕大,6420,110,5788,522,406,,,
英属维尔京群岛,3492,39,2649,804,326,,,
安圭拉,1674,5,1640,29,0,,,
格林纳达,6181,200,5685,296,108,,,
圣基茨和尼维斯,2999,28,2788,183,81,,,
特克斯和凯科斯群岛,3284,26,3164,94,0,,,
伯利兹,32840,602,30604,1634,421,,,
多米尼克,6814,47,6466,301,294,,,
蒙特塞拉特,46,1,44,1,1,,,
海地,25985,766,23289,1930,0,,,
萨尔瓦多,121945,3824,111008,7113,204,,,
尼加拉瓜,17487,212,4225,13050,0,,,
巴巴多斯,28565,260,27158,1147,247,,,
格陵兰岛,2611,1,2264,346,173,,,
巴哈马,24476,717,21796,1963,207,,,
瓜德罗普,56035,750,2250,53035,0,,,
开曼群岛,8818,11,4877,3930,432,,,
阿鲁巴,20461,181,17485,2795,698,,,
库拉索,21325,189,17795,3341,511,,,
圣卢西亚,13570,295,13015,260,97,,,
圣文森特和格林纳丁斯,5850,81,5228,541,0,,,
安提瓜和巴布达,4283,119,4063,101,24,,,
危地马拉,628359,16107,608562,3690,887,,,
特立尼达和多巴哥,91899,2869,73233,15797,491,,,
古巴,966004,8322,956415,1267,761,,,
洪都拉斯,379542,10434,124171,244937,0,,,
圣马丁岛,5197,75,4674,448,143,,,
圣巴泰勒米岛,1895,6,462,1427,274,,,
牙买加,93920,2473,65594,25853,365,,,
巴拿马,495920,7428,475624,12868,2664,,,
马提尼克,48473,779,104,47590,0,,,
哥斯达黎加,570556,7353,560709,2494,0,,,
多米尼加,418778,4247,407939,6592,2508,,,
墨西哥,3979723,299428,3307821,372474,8024,,,
加拿大,2183527,30319,1883573,269635,39836,,,
美国,55696500,846905,41502739,13346856,595957,,,
马尔维纳斯群岛,83,0,68,15,0,,,
圭亚那合作共和国,39573,1054,37626,893,157,,,
苏里南,52446,1189,49087,2170,238,,,
乌拉圭,413383,6170,398961,8252,1347,,,
委内瑞拉,444635,5328,434078,5229,225,,,
玻利维亚,599753,19680,526842,53231,6149,,,
法属圭亚那,48937,339,11254,37344,361,,,
巴拉圭,468025,16629,448066,3330,1021,,,
哥伦比亚,5157440,129942,4970713,56785,8436,,,
秘鲁,2292254,202653,1720665,368936,4760,,,
阿根廷,5654408,117169,5307059,230180,50506,,,
智利,1806494,39115,1725159,42220,1812,,,
厄瓜多尔,549418,33681,443880,71857,4226,,,
巴西,22287521,619109,21567845,100567,13405,,,
钻石公主号邮轮,712,13,699,0,0,,,
土耳其,9482550,82361,9063312,336877,39681,,,
伊朗,6194401,131606,6037090,25705,1703,,,
荷兰,3132745,20924,2640767,471054,16706,,,
比利时,2089657,28308,1721202,340147,13876,,,
西班牙,6294745,89405,5056955,1148385,161688,,,
英国,12937886,148624,10314726,2474536,188124,,,
意大利,6125683,137402,5087297,900984,127000,,,
德国,7176448,112756,6382900,680792,27189,,,
法国,9972800,123741,8091103,1757956,206243,,,
美国,55696500,846905,41502739,13346856,595957,,,
