西藏,1,0,1,0,0,0,0,0
澳门,78,0,77,1,0,0,0,0
青海,30,0,30,0,0,0,0,0
台湾,16964,850,13742,2372,14,0,0,14
香港,12618,213,12191,214,14,0,2,12
贵州,159,2,157,0,0,0,0,0
吉林,589,3,580,6,0,0,1,-1
新疆,981,3,978,0,0,0,0,0
宁夏,122,0,122,0,0,0,0,0
内蒙古,1186,1,1102,83,0,0,15,-15
甘肃,356,2,349,5,0,0,0,0
天津,576,3,525,48,4,0,1,3
山西,265,0,265,0,0,0,0,0
辽宁,793,2,787,4,0,0,0,0
黑龙江,2035,13,2022,0,0,0,0,0
海南,190,6,184,0,0,0,0,0
河北,1458,7,1451,0,0,0,0,0
陕西,1881,3,721,1157,156,0,4,152
云南,1813,2,1719,92,4,0,2,2
广西,610,2,359,249,5,0,18,-13
福建,1358,1,1322,35,4,0,0,4
上海,3084,7,2906,171,17,0,6,11
北京,1209,9,1186,14,1,0,1,0
江苏,1625,0,1620,5,0,0,0,0
四川,1316,3,1280,33,1,0,0,1
山东,1042,7,1008,27,1,0,2,-1
江西,959,1,958,0,0,0,0,0
重庆,611,6,603,2,0,0,1,-1
安徽,1009,6,1002,1,0,0,0,0
湖南,1216,4,1195,17,0,0,0,0
河南,1641,22,1592,27,0,0,0,0
广东,3443,8,3340,95,10,0,2,8
浙江,2015,1,1502,512,3,0,0,3
湖北,68317,4512,63804,1,1,0,0,1
韩国,625967,5455,509957,110555,5406,,,
塔吉克斯坦,17095,124,16966,5,0,,,
阿拉伯联合酋长国,757145,2160,743340,11645,2234,,,
也门,10125,1984,7015,1126,0,,,
老挝,108782,355,7339,101088,1042,,,
缅甸,530276,19262,507806,3208,0,,,
叙利亚,50204,2889,32275,15040,40,,,
东帝汶,19833,122,19705,6,0,,,
吉尔吉斯斯坦,184592,2799,179730,2063,40,,,
乌兹别克斯坦,198626,1485,195716,1425,139,,,
哈萨克斯坦,986946,12997,958995,14954,393,,,
土耳其,9402083,82059,9014490,305534,32176,,,
蒙古国,388973,2057,313256,73660,218,,,
塞浦路斯,157928,635,124370,32923,2241,,,
文莱,15465,98,15265,102,4,,,
孟加拉国,1584518,28063,1548416,8039,495,,,
马尔代夫,95420,262,92940,2218,190,,,
不丹,2660,3,2642,15,0,,,
巴勒斯坦,439231,4656,430835,3740,0,,,
沙特阿拉伯,554665,8874,541388,4403,744,,,
约旦,1059515,12590,1011442,35483,2403,,,
印度尼西亚,4262351,144081,4113742,4528,194,,,
亚美尼亚,344737,7970,331152,5615,88,,,
卡塔尔,249245,616,245186,3443,443,,,
阿塞拜疆,615842,8332,597754,9756,530,,,
格鲁吉亚,930544,13707,890733,26104,2514,,,
巴基斯坦,1294379,28918,1255396,10065,348,,,
阿曼,305357,4116,300355,886,104,,,
阿富汗,158037,7356,145570,5111,39,,,
巴林,280876,1394,277108,2374,373,,,
科威特,416077,2468,411504,2105,329,,,
伊拉克,2093136,24151,2064171,4814,486,,,
黎巴嫩,719103,9087,659448,50568,2280,,,
以色列,1374453,8243,1347558,18652,1590,,,
伊朗,6190762,131527,6032615,26620,1905,,,
印度,34814271,480592,34251292,82387,9195,,,
菲律宾,2839790,51241,2778131,10418,679,,,
斯里兰卡,586183,14944,560085,11154,0,,,
柬埔寨,120473,3011,116894,568,4,,,
尼泊尔,827972,11590,811518,4864,209,,,
越南,1694874,31877,1302542,360455,13889,,,
马来西亚,2750516,31428,2677406,41682,2897,,,
日本,1732543,18392,1711630,2521,499,,,
新加坡,278750,826,275084,2840,365,,,
泰国,2220324,21672,2165253,33399,2575,,,
圣赫勒拿,2,0,2,0,0,,,
海峡群岛,25998,113,22189,3696,0,,,
马恩岛,13487,67,13057,363,36,,,
黑山,166581,2401,158516,5664,2627,,,
法罗群岛,5548,13,4961,574,0,,,
阿尔巴尼亚,208899,3212,200181,5506,475,,,
保加利亚,740682,30819,610724,99139,1235,,,
摩尔多瓦,375358,9667,361724,3967,302,,,
马耳他,49717,476,39873,9368,1337,,,
斯洛伐克,835548,16554,772218,46776,4455,,,
梵蒂冈,27,0,27,0,0,,,
塞尔维亚,1295198,12665,1260458,22075,1804,,,
直布罗陀,8421,100,7573,748,124,,,
列支敦士登,6021,69,5682,270,39,,,
波黑,289676,13397,192218,84061,800,,,
匈牙利,1249694,39009,1097628,113057,3005,,,
斯洛文尼亚,460435,5576,438314,16545,1867,,,
波兰,4080282,95707,3602702,381873,15567,,,
乌克兰,3654690,95412,3449880,109398,5454,,,
拉脱维亚,274271,4553,258755,10963,1319,,,
葡萄牙,1330158,18921,1175217,136020,44039,,,
安道尔,22823,140,20563,2120,208,,,
捷克,2463780,35975,2298461,129344,9135,,,
爱尔兰,747895,5912,558745,183238,0,,,
卢森堡,101256,911,93608,6737,486,,,
圣马力诺,7655,98,6725,832,0,,,
摩纳哥,4985,38,4524,423,80,,,
冰岛,25314,37,20282,4995,0,,,
白俄罗斯,696220,5543,688890,1787,1493,,,
立陶宛,515892,7350,483151,25391,2062,,,
荷兰,3101261,20852,2600170,480239,15708,,,
爱沙尼亚,238957,1922,222275,14760,878,,,
丹麦,749486,3247,576028,170211,22023,,,
罗马尼亚,1805726,58677,1736172,10877,1271,,,
北马其顿,224134,7935,211228,4971,804,,,
挪威,387196,1305,88952,296939,4702,,,
希腊,1134713,20636,1006345,107732,21732,,,
瑞士,1288225,12247,993334,282644,17575,,,
克罗地亚,703720,12466,668904,22350,5768,,,
奥地利,1271770,13689,1229447,28634,3251,,,
